%time,field.header.seq,field.header.stamp,field.header.frame_id,field.bumper,field.cliff,field.sonar,field.illumination,field.led,field.button,field.torque,field.left_encoder,field.right_encoder,field.battery
1587292508222757366,28048,1587292508203172103,,2,139.0,0.0,408.0,0,0,1,10444,8336,11.9799995422
1587292508268352470,28049,1587292508236172103,,2,118.0,0.0,481.0,0,0,1,10476,8370,11.9499998093
1587292508287758668,28050,1587292508275172103,,2,121.0,0.0,441.0,0,0,1,10515,8410,11.9499998093
1587292508328320491,28051,1587292508308172103,,2,80.0,0.0,412.0,0,0,1,10547,8441,11.9499998093
1587292508361878355,28052,1587292508348172103,,2,118.0,0.0,410.0,0,0,1,10587,8482,11.970000267
1587292508401250595,28053,1587292508381172103,,2,139.0,0.0,413.0,0,0,1,10619,8513,11.970000267
1587292508423293720,28054,1587292508416172103,,2,80.0,0.0,415.0,0,0,1,10652,8547,11.970000267
1587292508467161376,28055,1587292508448172103,,2,118.0,0.0,398.0,0,0,1,10686,8581,11.9799995422
1587292508488078407,28056,1587292508481172103,,2,119.0,0.0,474.0,0,0,1,10720,8614,11.9799995422
1587292508527679970,28057,1587292508514172103,,2,80.0,0.0,433.0,0,0,1,10751,8647,11.9799995422
1587292508572142782,28058,1587292508547172103,,2,139.0,0.0,495.0,0,0,1,10783,8681,11.970000267
1587292508588913824,28059,1587292508581172103,,2,117.0,0.0,431.0,0,0,1,10816,8716,11.970000267
1587292508631612678,28060,1587292508614172103,,2,117.0,0.0,402.0,0,0,1,10849,8748,11.9799995422
1587292508669544605,28061,1587292508661172103,,2,117.0,0.0,491.0,0,0,1,10894,8794,11.970000267
1587292508711337105,28062,1587292508694172103,,2,139.0,0.0,427.0,0,0,1,10926,8827,11.970000267
1587292508757523668,28063,1587292508729172103,,2,137.0,0.0,402.0,0,0,1,10962,8863,11.970000267
1587292508775612939,28064,1587292508762172103,,2,137.0,0.0,479.0,0,0,1,10996,8896,11.970000267
1587292508815839709,28065,1587292508797172103,,2,139.0,0.0,429.0,0,0,1,11029,8932,11.970000267
1587292508854938095,28066,1587292508830172103,,2,80.0,0.0,397.0,0,0,1,11061,8964,11.970000267
1587292508870798928,28067,1587292508866172103,,2,134.0,0.0,387.0,0,0,1,11097,9002,11.9799995422
1587292508911870491,28068,1587292508899172103,,2,137.0,0.0,376.0,0,0,1,11129,9032,11.970000267
1587292508960468824,28069,1587292508934172103,,2,81.0,0.0,381.0,0,0,1,11163,9067,11.970000267
